,store_location,cabelas_county,cabelas_state
142,"5000 Cabela Drive Henrico, VA 23233",henrico county,Virginia
143,"1600 Gateway Boulevard Northeast Lacey, WA 98516",thurston county,Washington
144,"7905 S Hosmer St Tacoma, WA 98408",pierce county,Washington
145,"9810 Quil Ceda Boulevard Tulalip, WA 98271",snohomish county,Washington
146,"1400 E Washington Ave Union Gap, WA 98903",yakima county,Washington
147,"200 Cross Terrace Blvd Charleston, WV 25309",kanawha county,West Virginia
148,"1 Cabela Drive Triadelphia, WV 26059",ohio county,West Virginia
149,"1499 Lombardi Avenue Ashwaubenon, WI 54304",brown county,Wisconsin
150,"33901 St Hwy 35 Prairie du Chien, WI 53821",crawford county,Wisconsin
151,"1 Cabela Way Richfield, WI 53076",washington county,Wisconsin
152,"1350 Cabela Drive Sun Prairie, WI 53590",dane county,Wisconsin
