,store_location,cinemarks_county,cinemarks_state
182,"870 West Market Street, Tiffin, OH 44883",seneca county,Ohio
183,"5001 Monroe Street, Toledo, OH 43623",lucas county,Ohio
184,"6001 Canal Road, Valley View, OH 44125",cuyahoga county,Ohio
185,"195 Mall Woods Drive, West Carrollton, OH 45449",montgomery county,Ohio
186,"4108 Burbank Road, Wooster, OH 44691",wayne county,Ohio
187,"3575 Maple Ave, Zanesville, OH 43701",muskingum county,Ohio
188,"1090 North Hills Center, Ada, OK 74820",pontotoc county,Oklahoma
189,"1801 E. Hillside Drive, Broken Arrow, OK 74012",tulsa county,Oklahoma
190,"6001 Martin Luther King Blvd., Oklahoma City, OK 73111",wagoner county,Oklahoma
191,"10802 E 71st St South, Tulsa, OK 74133",tulsa county,Oklahoma
192,"3200 SW Hocken Avenue, Beaverton, OR 97005",multnomah county,Oregon
193,"12000 SE 82nd Ave., Happy Valley, OR 97086",clackamas county,Oregon
194,"651 Medford Center, Medford, OR 97504",jackson county,Oregon
195,"4040 SE 82nd Ave, Portland, OR 97266",multnomah county,Oregon
196,"2900 Gateway, Springfield, OR 97477",lane county,Oregon
197,"1910 Rotunda Drive, Erie, PA 16509",erie county,Pennsylvania
198,"99 Wagner Road, Monaca, PA 15061",beaver county,Pennsylvania
199,"600 Monroeville Mall, Monroeville, PA 15146",allegheny county,Pennsylvania
200,"40 Glenmaura National Blvd, Moosic, PA 18507",lackawanna county,Pennsylvania
201,"4012 Walnut St., Philadelphia, PA 19104",philadelphia county,Pennsylvania
202,"851 Providence Blvd, Pittsburgh, PA 15237",allegheny county,Pennsylvania
203,"2100 Settlers Ridge Center Drive, Pittsburgh, PA 15205",allegheny county,Pennsylvania
204,"160 Stroud Mall, Stroudsburg, PA 18360",monroe county,Pennsylvania
205,"106 Buckwalter Parkway, Bluffton, SC 29910",beaufort county,South Carolina
206,"2100 Coastal Grand Circle, Myrtle Beach, SC 29577",horry county,South Carolina
207,"4488 Ladson Road, Summerville, SC 29485",dorchester county,South Carolina
208,"2400 South Carolyn Ave., Sioux Falls, SD 57106",minnehaha county,South Dakota
209,"1101 S. Highline Place, Sioux Falls, SD 57110",minnehaha county,South Dakota
210,"755 W. Main Street, Oak Ridge, TN 37830",lewis county,Tennessee
211,"672 East Overland Trail, Abilene, TX 79601",taylor county,Texas
212,"3818 John Knox Dr, Abilene, TX 79606",taylor county,Texas
213,"921 SH 121, Allen, TX 75013",collin county,Texas
214,"9100 Canyon Drive, Amarillo, TX 79119",randall county,Texas
215,"218 Wood Street, Athens, TX 75751",henderson county,Texas
