,store_location,nordstroms_county,nordstroms_state
251,"2700 Potomac Mills Circle Woodbridge, VA 22192",prince william county,Virginia
252,"6141 Columbia Crossing Circle Columbia, MD 21045",howard county,Maryland
253,"700 Fairmount Avenue Towson, MD 21286",baltimore county,Maryland
254,"190 N Gulph Road King of Prussia, PA 19406",montgomery county,Pennsylvania
255,"10300 Little Patuxent Parkway Columbia, MD 21044",howard county,Maryland
256,"15760 Shady Grove Road Gaithersburg, MD 20877",montgomery county,Maryland
257,"101 Town Square Place King of Prussia, PA 19406",montgomery county,Pennsylvania
258,"2000 Route 38 Cherry Hill, NJ 08002",camden county,New Jersey
259,"100 Christiana Mall Newark, DE 19702",new castle county,Delaware
260,"12199 Fair Lakes Promenade Drive Fairfax, VA 22033",fairfax county,Virginia
261,"9563 South Boulevard Charlotte, NC 28273",mecklenburg county,North Carolina
262,"951 Haddonfield Road, Cherry Hill, NJ 08002",camden county,New Jersey
263,"2540 Solomons Island Road Annapolis, MD 21402",anne arundel county,Maryland
264,"8027 Leesburg Pike, Vienna, VA 22182",fairfax county,Virginia
265,"2400 Fashion Center Boulevard Newark, DE 19702",new castle county,Delaware
266,"530 W Mount Pleasant Avenue Livingston, NJ 07039",essex county,New Jersey
267,"343 Mount Hope Avenue Rockaway, NJ 07801",morris county,New Jersey
268,"750 N Krocks Road, Allentown, PA 18106",lehigh county,Pennsylvania
269,"141 State Route 23 Wayne, NJ 07470",passaic county,New Jersey
270,"231 Highway 35 Eatontown, NJ 07724",monmouth county,New Jersey
271,"362 Chimney Rock Road Bound Brook, NJ 08805",somerset county,New Jersey
272,"1585 Fruitville Pike Lancaster, PA 17601",lancaster county,Pennsylvania
273,"2424 E Lincoln Highway, Langhorne, PA 19047",bucks county,Pennsylvania
274,"2700 Campus Way North, Lanham, MD 20706",prince georges county,Maryland
275,"3967 Boston Street Baltimore, MD 21224",baltimore city county,Maryland
276,"45575 Dulles Eastern Plaza Sterling, VA 20166",loudoun county,Virginia
277,"1201 S Hayes Street, Arlington, VA 22202",arlington county,Virginia
278,"5333 Wisconsin Avenue Washington, DC 20015",district of columbia county,District of Columbia
279,"1800 L Street Northwest, Washington, DC 20036",district of columbia county,District of Columbia
280,"6501 Springfield Mall Springfield, VA 22150",delaware county,Virginia
